CUT,Nombre,Latitud,Longitud
15101,Arica,-18.455,-70.29
15102,Camarones,-19.017,-69.867
15201,Putre,-18.2,-69.583
15202,General Lagos,-17.653,-69.635
1101,Iquique,-20.244,-70.139
1107,Alto Hospicio,-20.257,-70.022
1401,Pozo Almonte,-20.291,-69.696
1402,Camiña,-20.483,-69.367
1403,Colchane,-19.284,-68.675
1404,Huara,-19.809,-69.972
1405,Pica,-20.483,-69.378
2101,Antofagasta,-23.651,-70.395
2102,Mejillones,-23.11,-70.456
2103,Sierra Gorda,-22.898,-69.323
2104,Taltal,-25.41,-70.489
2201,Calama,-22.474,-68.924
2202,Ollagüe,-21.233,-68.267
2203,San Pedro de Atacama,-22.92,-68.21
2301,Tocopilla,-22.082,-70.189
2302,María Elena,-22.317,-69.677
3101,Copiapó,-27.375,-70.329
3102,Caldera,-27.066,-70.826
3103,Tierra Amarilla,-27.473,-70.283
3201,Chañaral,-26.346,-70.624
3202,Diego de Almagro,-26.39,-70.052
3301,Vallenar,-28.577,-70.77
3302,Alto del Carmen,-28.749,-70.491
3303,Freirina,-28.506,-71.076
3304,Huasco,-28.456,-71.186
4101,La Serena,-29.907,-71.247
4102,Coquimbo,-29.971,-71.307
4103,Andacollo,-30.23,-71.086
4104,La Higuera,-29.5,-71.283
4105,Paihuano,-30.038,-70.507
4106,Vicuña,-30.019,-70.715
4201,Illapel,-31.639,-71.179
4202,Canela,-31.396,-71.419
4203,Los Vilos,-31.915,-71.506
4204,Salamanca,-31.78,-70.967
4301,Ovalle,-30.599,-71.189
4302,Combarbalá,-31.18,-71.004
4303,Monte Patria,-30.775,-70.943
4304,Punitaqui,-30.833,-71.26
4305,Río Hurtado,-30.273,-70.667
5101,Valparaíso,-33.05,-71.616
5102,Casablanca,-33.325,-71.41
5103,Concón,-32.96,-71.469
5104,Juan Fernández,-33.633,-78.867
5105,Puchuncaví,-32.748,-71.398
5107,Quintero,-32.845,-71.467
5109,Viña del Mar,-33.025,-71.515
5201,Isla de Pascua,-27.1288111111111,-109.359969444444
5301,Los Andes,-32.837,-70.597
5302,Calle Larga,-32.8830555555556,-70.4819444444445
5303,Rinconada,-32.8331611111111,-70.6884111111111
5304,San Esteban,-32.805,-70.581
5401,La Ligua,-32.3536888888889,-71.2721194444444
5402,Cabildo,-32.409,-71.08
5403,Papudo,-32.47,-71.381
5404,Petorca,-32.29,-70.95
5405,Zapallar,-32.568,-71.438
5501,Quillota,-32.915,-71.264
5502,La Calera,-32.784,-71.204
5503,Hijuelas,-32.855,-71.094
5504,La Cruz,-32.824,-71.244
5506,Nogales,-32.736,-71.208
5601,San Antonio,-33.5947222222222,-71.6074722222222
5602,Algarrobo,-33.3691666666667,-71.6680555555556
5603,Cartagena,-33.5538333333333,-71.6076111111111
5604,El Quisco,-33.3913888888889,-71.6927777777778
5605,El Tabo,-33.48,-71.621
5606,Santo Domingo,-33.708,-71.63
5701,San Felipe,-32.75,-70.713
5702,Catemu,-32.781,-70.969
5703,Llay-Llay,-32.844,-70.957
5704,Panquehue,-32.784,-70.837
5705,Putaendo,-32.628,-70.716
5706,Santa María,-32.7503333333333,-70.667
5801,Quilpué,-33.0475194444444,-71.4424888888889
5802,Limache,-33.003,-71.261
